Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
Data Analyst,Clarivate Analytics (TRCPL Projects Pvt Ltd.),3.9,98,1-2,Not disclosed,9,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-clarivate-analytics-trcpl-projects-pvt-ltd-bangalore-bengaluru-1-to-2-years-080721500774?src=jobsearchDesk&sid=16266120545846564&xp=13&px=5,"Graphics,Computer science,Data management,Coding,Analytical,Intellectual property,Market intelligence,Data Analyst,"
"Market Data Business Analyst,",Luxoft,4.4,73,2-6,Not disclosed,8,Bangalore/Bengaluru,https://www.naukri.com/job-listings-market-data-business-analyst-luxoft-bangalore-bengaluru-2-to-6-years-090721501248?src=jobsearchDesk&sid=16266120545846564&xp=14&px=5,"Publishing,Excel,Bloomberg,Fixed income,market data,QlikView,Murex,RPM,"
Data Analyst,Deloitte Shared Services India LLP,3.9,4429,1-5,"6,00,000 - 7,00,000 PA.",12,Mumbai (All Areas),https://www.naukri.com/job-listings-data-analyst-deloitte-shared-services-india-llp-mumbai-all-areas-1-to-5-years-060721001873?src=jobsearchDesk&sid=16266120545846564&xp=16&px=5,"Process Review,Business Intelligence,Data Structures,Data Analysis,New Business,Analytics,Quality Control,"
Data Analyst,Trespect India Private Limited ,3.3,11,2-5,"2,00,000 - 5,00,000 PA.",4,Mumbai,https://www.naukri.com/job-listings-data-analyst-trespect-india-private-limited-mumbai-2-to-5-years-130721008819?src=jobsearchDesk&sid=16266120545846564&xp=17&px=5,"Data Analysis,R,Python,"
Lead Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-10,Not disclosed,5,Pune,https://www.naukri.com/job-listings-lead-data-analyst-harman-connected-services-corporation-india-pvt-pune-5-to-10-years-120721501903?src=jobsearchDesk&sid=16266120545846564&xp=18&px=5,"Computer science,Automation,Data analysis,Postgresql,Performance testing,Informatica,Apache,Unix shell scripting,"
Data Analyst,Harman Connected Services Corporation India Pvt.,3.7,595,5-10,Not disclosed,3,Pune,https://www.naukri.com/job-listings-data-analyst-harman-connected-services-corporation-india-pvt-pune-5-to-10-years-140721500588?src=jobsearchDesk&sid=16266120545846564&xp=19&px=5,"Automation,Due diligence,Claims,HP data protector,Staffing,Succession planning,data privacy,SQL,"
Data Analyst,Valence Health,3.4,3,1-3,Not disclosed,12,Pune,https://www.naukri.com/job-listings-data-analyst-valence-health-pune-1-to-3-years-050721501514?src=jobsearchDesk&sid=16266120545846564&xp=20&px=5,"IT Skills,Python,Testing,Program Management,Computer science,Career development,Data analysis,Automation,"
Lead Data Analyst,Publicis Groupe,3.3,64,1-4,Not disclosed,12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-lead-data-analyst-publicis-groupe-bangalore-bengaluru-1-to-4-years-050721501115?src=jobsearchDesk&sid=16266120716757194&xp=2&px=6,"Unix,Data analysis,Factor analysis,Consulting,Project planning,Windows,MS Office,Open source,"
Data Analyst(Immediate) - GSR Buz Services - Bangalore,GSR Business Services Private Limited.,4.7,13,3-7,"5,00,000 - 15,00,000 PA.",12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-immediate-gsr-buz-services-bangalore-gsr-business-services-private-limited-bangalore-bengaluru-3-to-7-years-260621003548?src=jobsearchDesk&sid=16266120716757194&xp=4&px=6,"bigdata,Power Bi,Big Data,pyspark,Version Control,SQL,cloud,Data Science,"
Data Analyst,Superior Group,4.6,14,4-9,Not disclosed,14,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-superior-group-bangalore-bengaluru-4-to-9-years-030721500425?src=jobsearchDesk&sid=16266120716757194&xp=5&px=6,"Automation,Data analysis,Postgresql,Analytical,MySQL,DBMS,Macros,Analytics,"
Data Analyst,vConstruct Private Limited,4.3,33,1-3,Not disclosed,12,Pune,https://www.naukri.com/job-listings-data-analyst-vconstruct-private-limited-pune-1-to-3-years-050721008459?src=jobsearchDesk&sid=16266120716757194&xp=8&px=6,"Data Validation,R,Data Analysis,MS SQL Server,Data Modeling,Dashboards,Data Analytics,Python,"
Associate Data Analyst,Franklin Templeton International Services,3.9,56,1-5,Not disclosed,9,Mumbai,https://www.naukri.com/job-listings-associate-data-analyst-franklin-templeton-international-mumbai-1-to-5-years-080721500869?src=jobsearchDesk&sid=16266120716757194&xp=9&px=6,"Data analysis,SAS,Project management,Workflow,Data analytics,Windows,microsoft,Data mining,"
